item_id,title,genre,rating
0,The Secret Staircase,mysteri|adventur|fantasi|young|adult|fiction,5.0
1,The four swans: A novel of Cornwall 1795-7,histor|fiction|romanc|drama|adventur|histor|romanc,5.0
2,Without Remorse,thriller|mysteri|suspens|action|adventur|militari,4.0
3,Markets of Provence: A Culinary Tour of Southern France,non|fiction|travel|food|drink|culinari|region,5.0
4,Bomber Command 1939-1945,histori|militari|war|non|fiction|educ,5.0
5,Jeremy Poldark,histor|fiction|romanc|famili|saga|british|literatur|drama,5.0
6,JEREMY POLDARK,histor|fiction|romanc|drama|famili|saga|british|literatur,5.0
7,The Black Moon (The Fifth Poldark Novel),romanc|histor|fiction|drama|saga,5.0
8,On the Edge of Darkness,mysteri|thriller|suspens|psycholog|drama,4.0
9,The School at the Chalet (The Chalet School),fiction|young|adult|school|come|of|age|classic,5.0
10,Peacocks Dancing,fiction|histor|fiction|mysteri|romanc|contemporari,4.0
11,Big Cat Diary: Leopard,non|fiction|natur|wildlif|anim|conserv,5.0
12,The Yiddish Policemen's Union: A Novel,mysteri|thriller|histor|fiction|crime|fiction|altern|histori,2.0
13,The Yiddish Policemen's Union: A Novel (P.S.),mysteri|thriller|histor|fiction|crime|fiction|altern|histori,3.0
14,Daughters of Fire,fiction|contemporari|women'|fiction|famili|saga|romanc,3.0
15,Daughters of Fire. Barbara Erskine,fiction|histor|fiction|mysteri|romanc|fantasi,3.0
16,The Element Encyclopedia of Witchcraft: The Complete A-Z for the Entire Magical World,non|fiction|refer|occult|witchcraft|magic,4.0
17,Mog the Forgetful Cat,fiction|humor|adventur|fantasi|pictur|book,5.0
18,On Beulah Height (Dalziel & Pascoe),mysteri|crime|detect|polic|procedur|psycholog|thriller,5.0
19,Diary of a Baby Wombat,children'|humor|anim|pictur|book|fiction,4.0
20,Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal,biographi|memoir|non|fiction|travel|inspir,5.0
21,Gangsta Granny,children'|comedi|adventur|famili|fiction,5.0
22,The Hidden Child,mysteri|thriller|histor|fiction|suspens|drama,5.0
23,"The Drowning, Patrik Hedstrom 6",mysteri|thriller|crime|fiction|suspens,5.0
24,Born Weird,fantasi|comedi|mysteri|adventur|fiction,4.0
25,Communion Town,mysteri|thriller|scienc|fiction|fantasi|literari|fiction,3.0
26,The Scent of Almonds and other stories,fiction|short|stori|suspens|crime|detect,2.0
