user_id,activity,diversity,conformity
0,2,2,1
1,2,2,2
2,1,3,2
3,2,1,2
4,1,3,1
5,1,2,2
6,2,3,2
7,1,1,1
8,1,3,2
9,2,1,3
10,1,3,2
11,2,3,2
12,1,2,2
13,1,1,2
14,2,3,1
15,1,1,2
16,1,1,3
17,1,1,2
18,1,2,1
19,3,3,2
20,2,3,2
21,2,1,2
22,1,1,2
23,1,1,2
24,1,3,2
25,1,2,2
26,1,2,2
27,2,1,1
28,1,1,2
29,2,2,2
30,2,3,2
31,1,1,2
32,2,2,3
33,1,1,2
34,2,2,2
35,1,1,1
36,1,3,2
37,1,1,3
38,1,1,2
39,1,1,2
40,3,2,2
41,1,2,1
42,1,1,2
43,2,3,2
44,2,3,3
45,1,2,1
46,2,3,2
47,1,1,3
48,1,1,3
49,1,1,2
50,1,3,2
51,1,1,2
52,1,1,2
53,1,2,3
54,3,3,1
55,1,2,1
56,1,2,2
57,1,2,3
58,1,2,1
59,1,2,1
60,1,1,2
61,1,1,2
62,1,3,3
63,1,3,2
64,1,2,1
65,1,1,3
66,1,2,2
67,1,1,2
68,1,1,1
69,1,1,2
70,1,2,1
71,1,3,1
72,1,2,1
73,1,1,2
74,1,3,2
75,2,1,3
76,1,2,2
77,1,1,2
78,1,1,1
79,3,3,2
80,1,2,2
81,1,2,1
82,3,3,3
83,1,1,2
84,2,3,2
85,1,2,2
86,1,1,1
87,1,3,2
88,1,1,1
89,1,1,2
90,1,3,3
91,1,1,3
92,3,3,2
93,2,2,2
94,1,2,1
95,3,3,2
96,2,3,3
97,2,3,2
98,2,3,2
99,2,2,2
100,2,1,2
101,1,1,2
102,1,2,1
103,2,3,2
104,1,3,1
105,3,3,2
106,1,2,1
107,1,2,2
108,1,2,3
109,1,2,1
110,1,1,2
111,1,1,2
112,2,3,3
113,1,1,1
114,1,2,3
115,1,3,2
116,2,1,2
117,2,1,2
118,1,1,2
119,3,3,2
120,1,1,1
121,1,1,2
122,1,1,1
123,2,3,1
124,2,3,1
125,1,2,1
126,2,2,2
127,3,3,1
128,2,2,1
129,2,1,1
130,1,2,1
131,1,1,3
132,1,1,2
133,1,1,1
134,3,3,2
135,1,1,1
136,1,2,2
137,1,2,1
138,1,2,2
139,1,1,3
140,1,1,1
141,2,2,2
142,3,3,3
143,2,3,2
144,1,2,3
145,1,1,2
146,1,1,3
147,2,3,2
148,1,2,3
149,2,3,2
150,1,1,1
151,1,2,3
152,1,1,2
153,3,3,2
154,2,3,2
155,2,3,2
156,1,2,3
157,1,1,1
158,1,2,2
159,1,2,1
160,2,3,2
161,1,1,2
162,1,2,2
163,1,1,1
164,1,1,2
165,1,2,3
166,2,1,3
167,1,2,2
168,1,2,3
169,2,3,2
170,1,1,3
171,2,2,2
172,1,2,2
173,3,3,3
174,1,2,2
175,2,3,2
176,3,3,2
177,2,3,2
178,1,3,2
179,2,2,2
180,1,2,3
181,1,1,2
182,2,1,2
183,2,2,3
184,1,2,1
185,2,3,1
186,1,2,2
187,1,2,2
188,2,3,3
189,1,2,1
190,1,3,1
191,1,1,1
192,3,3,1
193,1,2,1
194,1,2,2
195,1,2,2
196,2,3,2
197,1,2,3
198,2,2,1
199,1,1,2
200,2,2,3
201,3,3,3
202,1,1,2
203,2,3,2
204,2,3,2
205,1,1,1
206,1,2,2
207,1,1,3
208,2,3,2
209,1,2,3
210,1,2,2
211,2,1,3
212,1,1,3
213,2,3,3
214,1,2,3
215,1,1,2
216,1,2,2
217,2,1,2
218,1,1,3
219,2,2,1
220,2,3,2
221,2,3,2
222,1,2,2
223,1,1,2
224,2,3,2
225,1,2,2
226,1,2,1
227,3,3,2
228,1,1,2
229,2,3,3
230,1,1,1
231,1,2,1
232,2,3,2
233,1,1,3
234,2,2,3
235,1,1,2
236,2,3,1
237,1,2,1
238,1,1,1
239,1,2,2
240,1,1,3
241,1,2,2
242,2,3,2
243,2,3,2
244,2,3,3
245,2,3,1
246,3,3,2
247,1,2,3
248,2,3,2
249,1,3,1
250,1,1,2
251,1,1,2
252,1,1,1
253,1,2,2
254,2,3,2
