item_id,title,genres
1,Who Framed Roger Rabbit?,"adventure,animation,film-noir"
2,Touch of Evil,"crime,film-noir,thriller"
3,Alien³,"action,horror,sci-fi,thriller"
4,"American Werewolf in London, An",horror
5,Footloose,drama
6,Ever After: A Cinderella Story,"drama,romance"
7,Licence to Kill,action
8,X-Men,"action,sci-fi"
9,"Honey, I Shrunk the Kids","adventure,children's,comedy,fantasy,sci-fi"
10,Chinatown,"film-noir,mystery,thriller"
11,Thunderball,action
12,Duck Soup,"comedy,war"
13,Stand by Me,"adventure,comedy,drama"
14,"Sex, Lies, and Videotape",drama
15,Aladdin,"animation,children's,comedy,musical"
16,Toy Story,"animation,children's,comedy"
17,Jumanji,"adventure,children's,fantasy"
18,Lifeboat,"drama,thriller,war"
19,Shadow of a Doubt,"film-noir,thriller"
20,Shane,"drama,western"
21,Suspicion,"mystery,thriller"
22,Charlotte's Web,"animation,children's"
23,Tie Me Up! Tie Me Down!,drama
24,Out of the Past,film-noir
25,She's the One,"comedy,romance"
26,One Flew Over the Cuckoo's Nest,drama
27,Arsenic and Old Lace,"comedy,mystery,thriller"
28,Star Wars: Episode V - The Empire Strikes Back,"action,adventure,drama,sci-fi,war"
29,Raiders of the Lost Ark,"action,adventure"
30,Brazil,sci-fi
31,Batman,"action,adventure,crime,drama"
32,Snow White and the Seven Dwarfs,"animation,children's,musical"
33,Beauty and the Beast,"animation,children's,musical"
34,Pinocchio,"animation,children's"
35,Pretty Woman,"comedy,romance"
36,Bride of Frankenstein,horror
37,Legend,"adventure,fantasy,romance"
38,Tender Mercies,drama
39,Sixteen Candles,comedy
40,Pretty in Pink,"comedy,drama,romance"
41,Evita,"drama,musical"
42,Cape Fear,thriller
43,Cape Fear,"film-noir,thriller"
44,Carrie,horror
45,Patton,"drama,war"
46,Highlander,"action,adventure"
47,Young Frankenstein,"comedy,horror"
48,Lady and the Tramp,"animation,children's,comedy,musical,romance"
49,Breaking the Waves,drama
50,Fantasia,"animation,children's,musical"
51,Almost Famous,"comedy,drama"
52,101 Dalmatians,"children's,comedy"
53,101 Dalmatians,"animation,children's"
54,High Noon,western
55,Shine,"drama,romance"
56,Somewhere in Time,"drama,romance"
57,This Is Spinal Tap,"comedy,drama,musical"
58,Jagged Edge,thriller
59,History of the World: Part I,comedy
60,Nashville,"drama,musical"
61,Rosemary's Baby,"horror,thriller"
62,Funny Face,"comedy,musical"
63,Breakfast at Tiffany's,"drama,romance"
64,Vertigo,"mystery,thriller"
65,Rear Window,"mystery,thriller"
66,Being There,comedy
67,It Happened One Night,comedy
68,Gandhi,drama
69,Sleeping Beauty,"animation,children's,musical"
70,M*A*S*H,"comedy,war"
71,North by Northwest,"drama,thriller"
72,Pink Floyd - The Wall,"drama,musical,war"
73,Places in the Heart,drama
74,Children of a Lesser God,drama
75,Broadcast News,"comedy,drama,romance"
76,Working Girl,"comedy,drama"
77,Star Trek: The Motion Picture,"action,adventure,sci-fi"
78,Charade,"comedy,mystery,romance,thriller"
79,Beetlejuice,"comedy,fantasy"
80,Casablanca,"drama,romance,war"
81,Say Anything...,"comedy,drama,romance"
82,Star Trek V: The Final Frontier,"action,adventure,sci-fi"
83,Star Trek: The Wrath of Khan,"action,adventure,sci-fi"
84,My Fair Lady,"musical,romance"
85,Family Plot,"comedy,thriller"
86,Star Trek III: The Search for Spock,"action,adventure,sci-fi"
87,Sabrina,"comedy,romance"
88,Sabrina,"comedy,romance"
89,Frenzy,thriller
90,Roman Holiday,"comedy,romance"
91,Meet Me in St. Louis,musical
92,Trainspotting,drama
93,Pokémon: The First Movie,"animation,children's"
94,Marnie,thriller
95,Grease,"comedy,musical,romance"
96,Gone with the Wind,"drama,romance,war"
97,Citizen Kane,drama
98,Independence Day (ID4),"action,sci-fi,war"
99,All About Eve,drama
100,Rebecca,"romance,thriller"
101,First Blood,action
102,Holiday Inn,"comedy,musical"
103,Romancing the Stone,"action,adventure,comedy,romance"
104,About Last Night...,"comedy,drama,romance"
105,Notorious,"film-noir,romance,thriller"
106,Willow,"action,adventure,fantasy"
107,Spellbound,"mystery,romance,thriller"
108,"Affair to Remember, An",romance
109,Donnie Brasco,"crime,drama"
110,Jerry Maguire,"drama,romance"
111,To Catch a Thief,"comedy,romance,thriller"
112,Raising Arizona,comedy
113,Gigi,musical
114,Bound,"crime,drama,romance,thriller"
115,Clue,"comedy,mystery"
116,Moonstruck,comedy
117,One True Thing,drama
118,L.A. Confidential,"crime,film-noir,mystery,thriller"
119,Laura,"crime,film-noir,mystery"
120,Top Hat,"comedy,musical,romance"
121,Giant,drama
122,East of Eden,drama
123,You've Got Mail,"comedy,romance"
124,Stuart Little,"children's,comedy"
125,Mighty Joe Young,"adventure,children's,drama"
126,Mighty Joe Young,"adventure,children's,drama"
127,Fantasia 2000,"animation,children's,musical"
128,Harvey,comedy
129,His Girl Friday,comedy
130,Them!,"sci-fi,thriller,war"
131,It's a Wonderful Life,drama
132,Mr. Smith Goes to Washington,drama
133,Bringing Up Baby,comedy
134,Stardust Memories,"comedy,drama"
135,Edward Scissorhands,"drama,romance"
136,King Kong,"action,adventure,horror"
137,King Kong,"action,adventure,horror"
138,Chasing Amy,"drama,romance"
139,Hercules,"adventure,animation,children's,comedy,musical"
140,Desperately Seeking Susan,"comedy,romance"
141,Shampoo,"comedy,romance"
142,My Best Friend's Wedding,"comedy,romance"
143,Singin' in the Rain,"musical,romance"
144,Wonder Boys,"comedy,drama"
145,Face/Off,"action,sci-fi,thriller"
146,Police Academy,comedy
147,Cat on a Hot Tin Roof,drama
148,Meet John Doe,drama
149,"Blue Angel, The (Blaue Engel, Der)",drama
150,Agnes of God,"drama,mystery"
151,Titanic,"drama,romance"
152,Titanic,"action,drama"
153,Tomorrow Never Dies,"action,romance,thriller"
154,Gattaca,"drama,sci-fi,thriller"
155,Taxi Driver,"drama,thriller"
156,Contact,"drama,sci-fi"
157,"Night to Remember, A","action,drama"
158,Key Largo,"crime,drama,film-noir,thriller"
159,Entrapment,"crime,thriller"
160,Erin Brockovich,drama
161,Stripes,comedy
162,Star Trek: Insurrection,"action,sci-fi"
163,Stalag 17,"drama,war"
164,Jumpin' Jack Flash,"action,comedy,romance,thriller"
165,Peggy Sue Got Married,"comedy,romance"
166,Shakespeare in Love,"comedy,romance"
167,Miracle on 34th Street,drama
168,Miracle on 34th Street,drama
169,Conspiracy Theory,"action,mystery,romance,thriller"
170,Mildred Pierce,drama
171,Birdy,"drama,war"
172,Thelma & Louise,"action,drama"
173,Crocodile Dundee,"adventure,comedy"
174,Witness,"drama,romance,thriller"
175,Dark City,"film-noir,sci-fi,thriller"
