music_id,artist_name,track_name,genres,average_rating
1,Death Cab For Cutie,Someday You Will Be Loved,indie|alternative|rock,3.4
2,Death Cab For Cutie,Crooked Teeth,indie|alternative,3.357142857142857
3,Death Cab For Cutie,Stable Song,indie|alternative,3.142857142857143
4,Death Cab For Cutie,The New Year,indie|alternative|rock,3.2
5,Death Cab For Cutie,Brothers On A Hotel Bed,indie|alternative|rock|emo,3.25
6,Death Cab For Cutie,I Was A Kaleidoscope,indie|alternative|rock,3.0
7,Death Cab For Cutie,Soul Meets Body,indie|alternative,3.8
8,Death Cab For Cutie,Your Heart Is An Empty Room,indie rock|alternative rock,3.636363636363636
9,Death Cab For Cutie,Lightness,indie|alternative,3.0
10,Death Cab For Cutie,Title And Registration,indie rock|alternative rock,2.6666666666666665
11,Death Cab For Cutie,Passenger Seat,indie|alternative|rock|pop,3.6
12,Death Cab For Cutie,We Looked Like Giants,indie|alternative|rock,3.571428571428572
13,Death Cab For Cutie,Transatlanticism,indie rock|alternative rock|indie pop,2.833333333333333
14,Death Cab For Cutie,Summer Skin,indie|alternative|rock,3.363636363636364
15,Death Cab For Cutie,I Will Follow You Into The Dark,indie|acoustic|folk,3.642857142857143
16,Death Cab For Cutie,Tiny Vessels,indie|alternative rock,3.1666666666666665
17,Death Cab For Cutie,A Lack Of Color,indie|alternative,3.888888888888889
18,Death Cab For Cutie,Photobooth,indie|alternative|rock,2.6666666666666665
19,Death Cab For Cutie,Different Names For The Same Thing,indie|alternative|rock,3.272727272727273
20,Death Cab For Cutie,Marching Bands Of Manhattan,indie|alternative|rock,3.4545454545454546
21,Death Cab For Cutie,What Sarah Said,indie rock|indie pop,3.2857142857142856
22,Morrissey,Everyday Is Like Sunday,alternative|indie|post-punk,3.571428571428572
23,Morrissey,Alsatian Cousin,alternative|indie|rock,3.333333333333333
24,Morrissey,Suedehead,alternative|indie|rock,3.75
25,Morrissey,"Angel, Angel, Down We Go Together",alternative|indie|post-punk,3.6666666666666665
26,Morrissey,"Late Night, Maudlin Street",alternative|indie rock,3.0
27,Morrissey,Bengali In Platforms,alternative|indie|post-punk,3.5
28,Morrissey,Hairdresser On Fire,alternative|indie rock,3.0
29,Cartel,Matter Of Time,alternative|pop|rock,3.0
30,Cartel,Luckie St.,pop|alternative rock,3.5
31,Cartel,Honestly,pop|rock,4.0
32,Sufjan Stevens,The Dress Looks Nice On You,indie|folk|acoustic,3.5
33,Queen,Fat Bottomed Girls,rock|hard rock|classic rock,3.25
34,Queen,Somebody To Love,rock|pop,3.0
35,Queen,We Are The Champions,rock|arena rock,2.6
36,Queen,Killer Queen,rock|glam rock,3.125
37,Busy P,Rainbow Man,electronic|house|disco,2.5
38,Cascada,Everytime We Touch (Radio Mix),dance|electronic|pop,4.0
39,Modjo,Lady (Hear Me Tonight),house|dance|disco,2.0
40,Cream,Strange Brew,rock|blues,2.5
41,Angels & Airwaves,Do It For Me Now,alternative|indie|rock,3.0
42,Daft Punk,Revolution 909,electronic|house,3.5
43,Daft Punk,Indo Silver Club,electronic|house,5.0
44,Daft Punk,Digital Love,electronic|dance|synth-pop,3.6666666666666665
45,Daft Punk,Da Funk,electronic|house,3.333333333333333
46,Daft Punk,Too Long,electronic|house|disco,3.333333333333333
47,Daft Punk,Human After All,electronic|dance,2.25
48,Daft Punk,Phoenix,electronic|house,3.0
49,Daft Punk,Veridis Quo,electronic|disco|house,3.333333333333333
50,Daft Punk,"Harder, Better, Faster, Stronger (The Neptunes Remix)",electronic|house|dance,5.0
51,Daft Punk,Teachers,electronic|house|techno,2.6666666666666665
52,Daft Punk,Short Circuit,electronic|house|disco,3.0
53,Daft Punk,Technologic,electronic|house|dance,3.3
54,Daft Punk,Face To Face,electronic|dance,3.333333333333333
55,Daft Punk,One More Time,house|electronic|disco,3.2222222222222223
56,Daft Punk,Harder Better Faster Stronger,electronic|house|dance,3.0
57,Daft Punk,Nightvision,electronic|ambient,3.333333333333333
58,Daft Punk,Around The World,electronic|house,3.333333333333333
59,Daft Punk,Aerodynamic,electronic|house,3.4
60,Daft Punk,Oh Yeah,electronic|house,4.0
61,Daft Punk,Superheroes,electronic|house,3.0
62,Daft Punk,High Fidelity,electronic|house,2.5
63,Daft Punk,Rock'N Roll,electronic|house,4.0
64,Daft Punk,The Prime Time Of Your Life,electronic|dance|techno,2.5
65,Daft Punk,Something About Us,electronic|house|disco,3.571428571428572
66,Daft Punk,Voyager,electronic|house|dance,3.5
67,Daft Punk,"Harder, Better, Faster, Stronger",electro|house|disco,3.0
68,Daft Punk,Touch It / Technologic,electronic|house,1.0
69,Daft Punk,Robot Rock,electronic|house,3.0
70,Cat Power,I Don'T Blame You,indie|alternative|folk,3.6666666666666665
71,Cat Power,Evolution,indie|alternative,3.0
72,Cat Power,Free,indie|alternative|folk,3.0
73,Cat Power,Good Woman,indie|folk|alternative,3.0
74,Cat Power,Maybe Not,indie|folk|alternative,3.5
